Clapeyron Database File,,,,,,,,,,
SAFTVRMie Like Parameters,,,,,,,,,,
species,CAS,Mw,segment,sigma,epsilon,lambda_r,lambda_a,n_H,n_e,source

C2MIMBF4_NA,143314-16-3,197.97,4.9517,3.6197,397.00,12,6,0,0,clapeyron
C4MIMBF4_NA,174501-65-6,226.03,5.4276,3.7464,381.13,12,6,0,0,clapeyron
C4MIMPF6_NA,174501-64-5,284.18,5.8875,3.7774,388.09,12,6,0,0,clapeyron
C6MIMBF4_NA,244193-50-8,254.08,5.9920,3.8382,390.58,12,6,0,0,clapeyron
C6MIMPF6_NA,304680-35-1,312.24,6.3457,3.8666,376.25,12,6,0,0,clapeyron
C8MIMBF4_NA,244193-52-0,282.13,6.5139,3.9072,377.35,12,6,0,0,clapeyron
C8MIMPF6_NA,304680-36-2,340.29,6.8666,3.9327,370.93,12,6,0,0,clapeyron

C2MIMBF4_2B,143314-16-3,197.97,5.1269,3.5793,361.10,12,6,1,1,clapeyron
C4MIMBF4_2B,174501-65-6,226.03,5.8398,3.6541,343.49,12,6,1,1,clapeyron
C4MIMPF6_2B,174501-64-5,284.18,6.3426,3.6797,346.80,12,6,1,1,clapeyron
C6MIMBF4_2B,244193-50-8,254.08,6.5025,3.7296,351.81,12,6,1,1,clapeyron
C6MIMPF6_2B,304680-35-1,312.24,7.0085,3.7398,346.10,12,6,1,1,clapeyron
C8MIMBF4_2B,244193-52-0,282.13,7.1966,3.7792,348.37,12,6,1,1,clapeyron
C8MIMPF6_2B,304680-36-2,340.29,7.6539,3.7919,342.37,12,6,1,1,clapeyron

C2MIMBF4,143314-16-3,197.97,7.1786,3.1825,302.63,12,6,2,2,clapeyron
C4MIMBF4,174501-65-6,226.03,7.7317,3.3225,310.23,12,6,2,2,clapeyron
C4MIMPF6,174501-64-5,284.18,8.2231,3.3643,310.80,12,6,2,2,clapeyron
C6MIMBF4,244193-50-8,254.08,8.3005,3.4311,315.38,12,6,2,2,clapeyron
C6MIMPF6,304680-35-1,312.24,8.7545,3.4667,314.79,12,6,2,2,clapeyron
C8MIMBF4,244193-52-0,282.13,8.9357,3.5048,311.01,12,6,2,2,clapeyron
C8MIMPF6,304680-36-2,340.29,9.3922,3.5388,317.00,12,6,2,2,clapeyron


C2MIMSCN_NA,331717-63-6,169.25,4.9239,3.6172,397.44,12,6,0,0,correlation
C4MIMSCN_NA,344790-87-0,197.30,5.4377,3.7297,389.47,12,6,0,0,correlation
C6MIMSCN_NA,847499-74-5,225.36,5.9573,3.8188,382.81,12,6,0,0,correlation
C2MIMTFO_NA,145022-44-2,260.24,5.4986,3.7413,388.62,12,6,0,0,correlation
C4MIMTFO_NA,174899-66-2,288.29,6.0124,3.8271,382.17,12,6,0,0,correlation
C8MIMTFO_NA,403842-84-2,344.40,7.0470,3.9546,372.02,12,6,0,0,correlation
C2MIMTF2N_NA,174899-82-2,391.30,6.7242,3.9199,374.85,12,6,0,0,correlation
C4MIMTF2N_NA,174899-83-3,419.40,7.2379,3.9735,370.47,12,6,0,0,correlation
C5MIMTF2N_NA,280779-53-5,433.40,7.4936,3.9970,368.51,12,6,0,0,correlation
C6MIMTF2N_NA,382150-50-7,447.40,7.7576,4.0193,366.62,12,6,0,0,correlation
C8MIMTF2N_NA,178631-04-4,475.50,8.2725,4.0582,363.29,12,6,0,0,correlation

C2MIMSCN_2B,331717-63-6,169.25,5.1168,3.5691,356.05,12,6,1,1,correlation
C4MIMSCN_2B,344790-87-0,197.30,5.7902,3.6504,351.76,12,6,1,1,correlation
C6MIMSCN_2B,847499-74-5,225.36,6.4713,3.7129,348.33,12,6,1,1,correlation
C2MIMTFO_2B,145022-44-2,260.24,5.8700,3.6586,351.32,12,6,1,1,correlation
C4MIMTFO_2B,174899-66-2,288.29,6.5434,3.7187,348.01,12,6,1,1,correlation
C8MIMTFO_2B,403842-84-2,344.40,7.8995,3.8051,343.06,12,6,1,1,correlation
C2MIMTF2N_2B,174899-82-2,391.3,7.4763,3.7819,344.41,12,6,1,1,correlation
C4MIMTF2N_2B,174899-83-3,419.4,8.1497,3.8176,342.33,12,6,1,1,correlation
C5MIMTF2N_2B,280779-53-5,433.4,8.4848,3.8330,341.41,12,6,1,1,correlation
C6MIMTF2N_2B,382150-50-7,447.4,8.8308,3.8476,340.54,12,6,1,1,correlation
C8MIMTF2N_2B,178631-04-4,475.5,9.5057,3.8728,339.03,12,6,1,1,correlation

C2MIMSCN,331717-63-6,169.25,7.1315,3.1812,304.68,12,6,2,2,correlation
C4MIMSCN,344790-87-0,197.30,7.7189,3.3061,308.47,12,6,2,2,correlation
C6MIMSCN,847499-74-5,225.36,8.3131,3.4072,311.76,12,6,2,2,correlation
C2MIMTFO,145022-44-2,260.24,7.7886,3.3191,308.88,12,6,2,2,correlation
C4MIMTFO,174899-66-2,288.29,8.3761,3.4168,312.08,12,6,2,2,correlation
C8MIMTFO,403842-84-2,344.40,9.5591,3.5660,317.33,12,6,2,2,correlation
C2MIMTF2N,174899-82-2,391.3,9.1899,3.5249,315.84,12,6,2,2,correlation
C4MIMTF2N,174899-83-3,419.4,9.7774,3.5885,318.16,12,6,2,2,correlation
C5MIMTF2N,280779-53-5,433.4,10.0697,3.6167,319.22,12,6,2,2,correlation
C6MIMTF2N,382150-50-7,447.4,10.3716,3.6437,320.24,12,6,0,0,correlation
C8MIMTF2N,178631-04-4,475.5,10.9604,3.6911,322.08,12,6,2,2,correlation


C2MIMTF2N_2BL,174899-82-2,391.30,7.60525,3.78926,343.985,12,6,1,1,correlation
C4MIMTF2N_2BL,174899-83-3,419.40,8.22430,3.82113,342.118,12,6,1,1,correlation
C5MIMTF2N_2BL,280779-53-5,433.40,8.58026,3.83717,341.167,12,6,1,1,correlation
C6MIMTF2N_2BL,382150-50-7,447.40,8.93622,3.85181,340.291,12,6,1,1,correlation

C2MIMTF2N_NAL,174899-82-2,391.30,6.8225,3.9309,373.96,12,6,0,0,correlation
C4MIMTF2N_NAL,174899-83-3,419.40,7.2948,3.9789,370.02,12,6,0,0,correlation
C5MIMTF2N_NAL,280779-53-5,433.40,7.5664,4.0033,367.98,12,6,0,0,correlation
C6MIMTF2N_NAL,382150-50-7,447.40,7.8380,4.0258,366.07,12,6,0,0,correlation

C2MIMTF2N_slattery,174899-82-2,391.3,6.8461,3.9335,373.75,12,6,0,0,correlation
C4MIMTF2N_slattery,174899-83-3,419.4,7.3184,3.9811,369.84,12,6,0,0,correlation
C5MIMTF2N_slattery,280779-53-5,433.4,7.5900,4.0053,367.81,12,6,0,0,correlation
C6MIMTF2N_slattery,382150-50-7,447.4,7.8616,4.0277,365.91,12,6,0,0,correlation

C2MIMTF2N_beichel,174899-82-2,391.3,6.7399,3.9217,374.71,12,6,0,0,correlation
C4MIMTF2N_beichel,174899-83-3,419.4,7.3066,3.9800,369.93,12,6,0,0,correlation
C5MIMTF2N_beichel,280779-53-5,433.4,7.5782,4.0043,367.89,12,6,0,0,correlation
C6MIMTF2N_beichel,382150-50-7,447.4,7.8616,4.0277,365.91,12,6,0,0,correlation



CO2,124-38-9,44.01,1.6936,3.0465,235.73,18.067,6,0,0,https://doi.org/10.1080/00268976.2015.1029027
CH4,74-82-8,16.043,1.0,3.7366,151.45,12.319,6,0,0,https://doi.org/10.1080/00268976.2015.1029027

ethanol_3B,64-17-5,46.07,1.7639,3.6025,307.92,17.968,6,0,0,10.1016/j.molliq.2018.05.112
water_LJ,,18.01,1,3.0555,418,35.823,6,2,2,https://doi.org/10.1080/00268976.2015.1029027



methane,,16.04,1,3.737,152.58,12.504,6,0,0,10.1016/j.fluid.2015.12.044
ethane,,30.07,1.4373,3.7257,206.12,12.4,6,0,0,10.1063/1.4819787
propane,,44.1,1.6845,3.9056,239.89,13.006,6,0,0,10.1063/1.4819788
butane,,58.12,1.8514,4.0887,273.64,13.65,6,0,0,10.1063/1.4819789
pentane,,72.15,1.9606,4.2928,321.94,15.847,6,0,0,10.1063/1.4819790
hexane,,86.177,2.1097,4.423,354.38,17.203,6,0,0,10.1063/1.4819791
heptane,,100.204,2.3949,4.4282,358.51,17.092,6,0,0,10.1063/1.4819792
octane,,114.231,2.6253,4.4696,369.18,17.378,6,0,0,10.1063/1.4819793
nonane,,128.258,2.8099,4.5334,387.55,18.324,6,0,0,10.1063/1.4819794
decane,,142.285,2.9976,4.589,400.79,18.885,6,0,0,10.1063/1.4819795
dodecane,,156.312,3.2519,4.7484,437.72,20.862,0,0,6,10.1063/1.4819796
pentadecane,,212.421,3.9325,4.7738,444.51,20.822,6,0,0,10.1063/1.4819797
n-eicosane,,282.5475,4.8794,4.8788,475.76,22.926,6,,,10.1063/1.4819798
perfluoromethane,,88.003,1,4.3372,232.62,42.553,5.1906,0,0,10.1063/1.4819803
perfluoroethane,,138.01,1.8529,3.9336,211.46,19.192,5.7506,0,0,10.1063/1.4819804
perfluoropropane,,188.017,1.9401,4.2983,263.26,22.627,5.7506,0,0,10.1063/1.4819805
n-perfluorobutane,,238.024,2.1983,4.4495,290.49,24.761,5.7506,0,0,10.1063/1.4819806
n-perfluoropentane,,288.031,2.3783,4.6132,328.56,29.75,5.7506,0,0,10.1063/1.4819807
n-perfluorohexane,,338.038,2.5202,4.7885,349.3,30.741,5.7506,0,0,10.1063/1.4819808
fluorine,,38,1.3211,2.9554,96.268,11.606,6,0,0,10.1063/1.4819809
carbon dioxide,,44.01,1.6936,3.05,207.89,26.408,5.055,1,0,10.1016/j.fluid.2015.12.044
carbon dioxide_lafitte,,44.01,1.5,3.1916,231.88,27.557,5.1646,1,0,10.1063/1.4819786
benzene,,78.11,1.9163,4.0549,372.59,14.798,6,0,0,10.1063/1.4819811
toluene,,92.14,1.9977,4.2777,409.73,16.334,6,0,0,10.1063/1.4819812
water,,18.01,1,3.0063,266.68,17.02,6,2,2,10.1080/00268976.2015.1029027
methanol,,32.042,1.67034,3.2462,307.69,19.235,6,1,2,10.1021/je500248h
helium,,4,1.,3.3530,4.44,14.84,6.,0.,0.,
